n�ringsgren SNI92,br�nsletyp,1992K1,1992K2,1992K3,1992K4,1993K1,1993K2,1993K3,1993K4,1994K1,1994K2,1994K3,1994K4,1995K1,1995K2,1995K3,1995K4,1996K1,1996K2,1996K3,1996K4,1997K1,1997K2,1997K3,1997K4,1998K1,1998K2,1998K3,1998K4,1999K1,1999K2,1999K3,1999K4,2000K1,2000K2,2000K3,2000K4,2001K1,2001K2,2001K3,2001K4
"C+D utvinning av mineral, tillverkningsindustri",eldningsolja nr 1,79,50,35,67,77,49,44,76,85,50,38,77,95,64,44,82,109,68,45,90,93,59,46,85,88,58,48,89,105,60,49,78,90,47,38,59,87,57,45,72
"C+D utvinning av mineral, tillverkningsindustri",eldningsolja nr 2-6,199,135,123,216,240,171,146,282,333,186,193,293,321,212,178,325,363,239,207,342,337,214,163,293,294,209,162,296,321,192,170,270,340,200,172,220,290,198,165,238
"C+D utvinning av mineral, tillverkningsindustri",stenkol,129,101,94,127,111,110,101,135,126,107,91,126,139,117,94,125,127,118,88,142,109,123,88,137,122,110,103,131,105,103,88,128,144,126,100,149,144,139,131,147
"C+D utvinning av mineral, tillverkningsindustri",koks,246,224,170,252,214,253,185,269,245,259,208,259,267,273,179,264,265,256,221,276,233,273,194,279,267,271,180,243,239,256,198,272,280,290,197,268,272,239,208,267
"C+D utvinning av mineral, tillverkningsindustri","propan, butan, l�ttbensin",113,100,83,117,96,84,77,102,106,94,85,109,110,104,84,111,112,98,83,111,106,103,87,118,116,107,92,114,110,94,76,107,121,94,77,88,99,96,71,97
"C+D utvinning av mineral, tillverkningsindustri","tr�dbr�nslen, avlutar, tall-, beckolja, bioolja, sopor, torv",1030,967,862,940,1025,971,887,1049,1043,993,920,1046,1120,1063,958,1002,1065,988,983,1055,1152,1088,995,1103,1200,1091,965,1056,1119,1105,1010,1138,1310,1158,1171,1222,1201,1120,952,1146
"C+D utvinning av mineral, tillverkningsindustri",naturgas,74,54,44,88,75,54,53,88,72,61,51,85,76,60,58,98,93,66,59,101,83,66,59,104,84,65,64,102,87,72,61,99,91,66,72,92,86,82,76,128
C gruvor och mineralutvinningsind,eldningsolja nr 1,2,2,1,2,3,2,3,2,2,3,2,3,3,3,3,3,2,3,2,3,2,3,2,3,3,4,5,5,3,5,3,3,1,2,3,2,2,3,2,3
C gruvor och mineralutvinningsind,eldningsolja nr 2-6,8,6,5,12,10,6,6,9,16,8,9,16,16,14,10,14,15,15,11,14,14,11,10,12,14,13,12,17,17,9,10,15,12,12,7,12,16,10,8,10
C gruvor och mineralutvinningsind,stenkol,13,11,11,11,12,10,17,14,10,12,11,9,13,12,16,13,15,14,14,15,17,23,15,17,15,14,15,13,6,13,9,12,14,13,16,12,12,10,11,9
C gruvor och mineralutvinningsind,koks,5,5,3,4,5,6,4,4,7,4,4,3,5,4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
C gruvor och mineralutvinningsind,"propan, butan, l�ttbensin",..,..,..,..,..,..,..,..,..,1,..,1,..,1,1,1,..,..,..,1,..,1,1,1,..,1,1,1,..,1,..,..,..,..,0,0,1,0,0,1
C gruvor och mineralutvinningsind,"tr�dbr�nslen, avlutar, tall-, beckolja, bioolja, sopor, torv",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,1,1,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
C gruvor och mineralutvinningsind,naturgas,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,..,..,0,0
"15+16 livsmedels-, dryckesvaru-, o tobaksind",eldningsolja nr 1,12,6,6,10,11,8,7,11,11,8,7,11,14,11,8,12,18,13,9,15,17,13,10,14,12,10,9,18,20,12,13,17,13,11,9,13,18,15,13,15
