varuslag,f�rbrukarkategori,1997M01,1997M02,1997M03,1997M04,1997M05,1997M06,1997M07,1997M08,1997M09,1997M10,1997M11,1997M12,1998M01,1998M02,1998M03,1998M04,1998M05,1998M06,1998M07,1998M08,1998M09,1998M10,1998M11,1998M12,1999M01,1999M02,1999M03,1999M04,1999M05,1999M06,1999M07,1999M08,1999M09,1999M10,1999M11,1999M12,2000M01,2000M02,2000M03,2000M04,2000M05,2000M06,2000M07,2000M08,2000M09,2000M10,2000M11,2000M12,2001M01,2001M02,2001M03,2001M04,2001M05,2001M06,2001M07,2001M08,2001M09,2001M10,2001M11,2001M12,2002M01,2002M02,2002M03,2002M04,2002M05,2002M06,2002M07,2002M08,2002M09,2002M10,2002M11,2002M12,2003M01,2003M02,2003M03,2003M04,2003M05,2003M06,2003M07,2003M08,2003M09,2003M10,2003M11,2003M12,2004M01,2004M02,2004M03,2004M04,2004M05,2004M06,2004M07,2004M08,2004M09,2004M10,2004M11,2004M12,2005M01,2005M02,2005M03,2005M04,2005M05,2005M06,2005M07,2005M08,2005M09,2005M10,2005M11,2005M12,2006M01,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12
"l�ttbensin (f�r framst�llning av stadsgas), m3",totalt exkl bunkring f�r utrikes sj�fart,7290,0,7259,3816,0,7137,13128,0,3378,3844,7106,5579,7163,7048,0,7302,6463,8370,0,10550,17500,0,9048,9054,7236,7438,7215,7217,0,0,0,7063,0,7206,0,0,0,0,0,7207,0,0,7050,0,0,13936,7239,7698,24549,3788,7298,0,8532,6762,0,0,7122,0,0,26705,0,7244,12323,15674,0,0,0,7087,0,0,0,0,677,15613,651,750,709,597,673,12294,486,14159,10242,337,597,12195,11921,764,542,15066,650,125,14932,400,14572,15252,0,28778,0,0,0,0,0,13931,0,0,0,14135,0,14233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"l�ttbensin (f�r framst�llning av stadsgas), m3",�terf�rs�ljare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"l�ttbensin (f�r framst�llning av stadsgas), m3",konsumenter,0,0,0,0,0,0,13128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15252,0,28778,0,0,0,0,0,13931,0,0,0,14135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"l�ttbensin (f�r framst�llning av stadsgas), m3",bunkring f�r utrikes sj�fart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"flygbensin, m3",totalt exkl bunkring f�r utrikes sj�fart,338,361,381,609,724,940,909,886,757,531,310,461,322,335,419,467,737,747,822,624,784,476,308,245,231,501,319,469,729,800,752,785,751,345,368,477,244,374,505,492,654,1230,561,732,723,556,351,276,351,407,344,507,762,776,804,705,591,428,400,199,213,303,463,595,722,726,646,806,670,342,278,159,150,261,367,441,584,736,426,613,514,439,231,190,183,221,350,433,573,620,497,604,461,318,217,241,203,261,359,449,506,522,475,646,439,315,262,124,153,163,275,360,418,675,583,502,440,275,254,231,208,153,282,367,447,540,362,611,376,337,202,119,226,164,119,379,462,599,402,594,257,149,194,119,108,192,178,353,453,451,527,712,322,238,121,112,147,293,285,291,409,457,361,399,397,193,265,91,95,225,860,268,385,382,273,302,278,274,241,132,122,145,248,267,385,309,336,366,375,202,89,79,109,130,133,234,619,481,386,346,232,226,119,52,75,79,189,203,256,263,331,285,217,216,104,186,45,93,248,..,..,..,..,176,..,..,..,..,69,79,119,146,209,..,216,264,317,38,72,74,84,105,142,..,255,..,215,261,..,148,116,63
"flygbensin, m3",�terf�rs�ljare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,175,192,0,211,154,125,70,51,54,73,108,123,144,165,130,179,95,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,101,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,23,42,42,59,70,78,86,62,42,38,33,14,28,39,55,55,75,35,51,71,61,43,29,24
"flygbensin, m3",konsumenter,338,361,381,609,724,940,909,886,757,531,310,461,322,335,419,467,737,747,822,624,784,476,308,245,231,501,319,469,729,800,752,785,751,345,368,477,244,374,505,492,654,711,561,732,723,556,351,276,351,407,344,507,762,776,804,705,591,428,400,199,213,303,463,595,722,726,646,806,670,342,278,159,150,261,367,300,409,544,426,402,360,314,161,139,129,148,242,310,429,455,367,425,366,222,217,241,203,261,359,449,506,522,475,646,439,315,262,124,153,163,275,360,418,675,583,502,439,275,254,231,208,153,282,367,447,540,264,611,376,337,202,119,226,164,119,364,462,599,402,594,257,149,194,119,108,192,178,353,453,451,527,712,322,238,121,112,147,92,285,291,409,457,361,399,397,193,265,91,95,124,160,268,385,382,273,302,278,274,241,132,122,145,248,267,385,309,336,366,375,202,89,79,109,130,133,234,619,481,386,346,232,226,119,52,75,79,189,203,256,263,331,285,217,216,104,186,45,93,248,..,..,..,..,176,..,..,..,..,46,37,77,87,139,..,130,202,275,0,39,60,56,66,87,..,180,..,164,190,..,105,87,39
"flygbensin, m3",bunkring f�r utrikes sj�fart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"motorbensin, m3",totalt exkl bunkring f�r utrikes sj�fart,409246,397110,449761,487467,483493,534477,512987,482070,478221,483064,408570,450226,389262,382658,444407,462327,457966,498144,536156,484392,464685,455419,420747,433233,367860,380583,467993,454674,455384,503575,526642,507019,463561,439714,444607,441606,373960,400890,448677,430138,495420,485568,486814,513918,444833,441400,427012,424171,394431,378307,437750,444046,484373,481527,519623,518449,428922,470237,441428,419236,398038,381578,444466,465320,496766,473865,547302,522753,458752,475806,427888,432225,399461,389150,436894,465823,479972,497745,552799,502338,480167,488938,414023,439502,390356,394407,461460,467947,472014,501948,530232,520953,470051,457868,439538,450394,387894,389854,464874,452153,492572,511315,512845,527733,462391,446642,432515,427405,387456,368861,434187,430247,480054,495693,509413,506302,451599,458711,431296,409437,388888,367755,429325,436755,471939,471923,506275,499510,421121,453819,403715,402592,364426,364252,400263,413327,442075,437453,495599,429425,408803,409322,366364,398245,348487,344666,395885,418925,418141,448841,484420,443897,407594,400192,360361,373354,330679,315879,376164,373686,400890,415942,454946,424596,385035,371700,349575,351115,306825,306128,345135,349313,374363,405102,408134,396678,349198,343313,322336,316338,294450,290870,311967,315028,350589,350801,382347,362985,313663,325341,293978,288692,274202,256867,298340,302504,334202,336137,374468,342688,304314,308368,278406,274573,263945,242292,281373,301763,318124,323251,357737,323615,297608,293968,261108,280409,249030,238910,277250,292884,296739,318064,349382,326444,291088,291030,260125,280440,228593,246760,281132,267301,301693,312118,326403,312864,278753,268123,254862,259370,227861,221362,262600,256359,297835,294371,314375,304891,262030,266100,245753,245274
"motorbensin, m3",�terf�rs�ljare,385418,375216,424367,460786,456420,504857,487432,454763,455388,458097,387547,426969,369398,362941,420917,436349,434683,472539,510610,460643,440355,431723,400363,409576,345679,356959,439225,427057,433015,473261,496722,477796,435828,412097,416477,412025,351109,375703,416980,403121,463970,451260,459733,481233,416964,412903,397268,395927,369936,352495,407641,419321,456786,455051,494292,490440,405001,443189,410810,395370,374529,357782,418567,439170,466014,445242,520125,494572,432728,448516,402955,407447,386322,375086,432088,448357,463780,480205,537110,488579,466723,460941,392608,417370,370700,374649,437875,443288,449706,479005,504910,496533,446134,433988,418118,424756,368238,372563,443268,429385,469282,486856,491288,505034,438329,426701,412701,408614,372219,354708,414876,414515,463742,477572,493660,489402,437408,441684,414018,397525,377566,355849,414267,422503,456731,456158,490634,483515,409330,437868,389974,390436,352977,351062,389199,399268,429439,424338,480281,417638,397576,397988,355177,386161,333959,336777,383395,403724,402659,430768,469130,428215,393599,385429,347832,360474,320139,305051,363100,360949,387445,401039,437141,410215,372102,359431,338250,339359,296462,295559,333100,337859,362739,377667,393778,383677,338531,333421,313015,306982,285651,282426,303787,305897,339594,339863,369024,351293,304893,315664,285018,280097,265408,248843,288802,293089,322922,324960,359906,330679,294321,297910,268805,265365,254269,232758,270815,289340,305246,308699,340088,309585,284585,281456,249032,268601,238369,227490,264080,278571,284171,302767,332016,307041,277799,277571,248554,267108,219214,234585,266609,253992,286103,295205,307457,296047,264751,254372,242773,246708,217174,209678,249141,243422,281743,276987,292645,284870,248072,252524,233218,232381
