,produktionsslag,Brutto 1986,Brutto 1987,Brutto 1988,Brutto 1989,Brutto 1990,Brutto 1991,Brutto 1992,Brutto 1993,Brutto 1994,Brutto 1995,Brutto 1996,Brutto 1997,Brutto 1998,Brutto 1999,Brutto 2000,Brutto 2001,Brutto 2002,Brutto 2003,Brutto 2004,Brutto 2005,Brutto 2006,Brutto 2007,Brutto 2008,Brutto 2009,Brutto 2010,Brutto 2011,Brutto 2012,Brutto 2013,Brutto 2014,Brutto 2015,Brutto 2016,Brutto 2017,Brutto 2018,Brutto 2019,Brutto 2020,Brutto 2021,Netto 1986,Netto 1987,Netto 1988,Netto 1989,Netto 1990,Netto 1991,Netto 1992,Netto 1993,Netto 1994,Netto 1995,Netto 1996,Netto 1997,Netto 1998,Netto 1999,Netto 2000,Netto 2001,Netto 2002,Netto 2003,Netto 2004,Netto 2005,Netto 2006,Netto 2007,Netto 2008,Netto 2009,Netto 2010,Netto 2011,Netto 2012,Netto 2013,Netto 2014,Netto 2015,Netto 2016,Netto 2017,Netto 2018,Netto 2019,Netto 2020,Netto 2021,Egenanv�ndning 1986,Egenanv�ndning 1987,Egenanv�ndning 1988,Egenanv�ndning 1989,Egenanv�ndning 1990,Egenanv�ndning 1991,Egenanv�ndning 1992,Egenanv�ndning 1993,Egenanv�ndning 1994,Egenanv�ndning 1995,Egenanv�ndning 1996,Egenanv�ndning 1997,Egenanv�ndning 1998,Egenanv�ndning 1999,Egenanv�ndning 2000,Egenanv�ndning 2001,Egenanv�ndning 2002,Egenanv�ndning 2003,Egenanv�ndning 2004,Egenanv�ndning 2005,Egenanv�ndning 2006,Egenanv�ndning 2007,Egenanv�ndning 2008,Egenanv�ndning 2009,Egenanv�ndning 2010,Egenanv�ndning 2011,Egenanv�ndning 2012,Egenanv�ndning 2013,Egenanv�ndning 2014,Egenanv�ndning 2015,Egenanv�ndning 2016,Egenanv�ndning 2017,Egenanv�ndning 2018,Egenanv�ndning 2019,Egenanv�ndning 2020,Egenanv�ndning 2021,anv�ndningsomr�de,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,total tillf�rsel av el,140486,148745,151294,155144,159417,153609,155292,153791,149718,156070,156518,159659,165105,163615,163893,172779,166842,159721,168100,173634,160847,164793,162404,150452,163187,163644.0,177982.0,165829.0,167514.0,171352.0,170418.0,176146.0,175586.0,177493.0,175644.0,180120.0,135520,143695,146174,150902,154622,148656,150626,149191,145069,151847,152391,155492,160654,159226,160181,168799,163344,156821,164470,169558,157786,160937,158715,146971,159844,160009.0,174124.0,161872.0,163808.0,168230.0,166786.0,172377.0,171862.0,174700.0,172725.0,176946.0,4966,5050,5120,4242,4795,4953,4666,4600,4649,4223,4127,4167,4451,4389,3712,3980,3498,2900,3630,4076,3061,3856,3689,3482,3343,3635.0,3858.0,3957.0,3706.0,3122.0,3632.0,3768.0,3724.0,2793.0,2919.0,3175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,vattenkraft,60933,71854,69883,71750,72509,63249,74364,74647,59097,68096,51740,69056,74743,71691,78584,79061,66358,53540,60588,72692,61638,66163,68997,65414,67176,67064.0,78939.0,61361.0,63763.0,75312.0,62137.0,65066.0,62150.0,65300.0,72290.0,73799.0,60134,70950,69015,70914,71676,62499,73524,73809,58375,67247,51100,68227,73846,70872,77862,78428,65827,53112,60103,72032,61145,65634,68595,64973,66773,66661.0,78466.0,60993.0,63380.0,74861.0,61764.0,64676.0,61777.0,64908.0,71856.0,73356.0,799,904,868,836,833,750,840,838,722,849,640,829,897,819,722,633,531,428,485,660,493,529,402,441,403,402.0,474.0,368.0,383.0,452.0,373.0,390.0,373.0,392.0,434.0,443.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pumpkraft,567,594,589,175,530,426,529,565,353,58,35,43,40,22,35,22,35,58,43,71,69,102,105,196,103,122.0,126.0,135.0,108.0,127.0,119.0,102.0,100.0,93.0,149.0,127.0,-243,-254,-252,-75,-227,-183,-227,-242,-151,-25,-15,-19,-17,-10,-14,-10,-16,-25,-18,-22,-29,-43,-46,-84,-44,-52.0,-54.0,-58.0,-46.0,-55.0,-51.0,-44.0,42.0,61.0,77.0,69.0,810,848,841,250,757,609,756,807,504,83,50,62,57,32,49,32,51,83,61,93,98,145,151,281,147,175.0,180.0,192.0,155.0,182.0,170.0,146.0,58.0,32.0,73.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,k�rnkraft,69951,67385,69424,65603,68185,76761,63544,61395,73156,69935,74274,69928,73583,73188,57316,72109,68111,67415,77671,72691,66977,66969,63889,52173,57728,60475.0,64037.0,66457.0,64877.0,56348.0,63101.0,65696.0,68549.0,66130.0,49198.0,52965.0,66884,64341,66274,62687,65225,73484,60774,58761,70086,66978,71362,66914,70500,70200,54772,69211,65550,65454,75000,69764,64983,64279,61266,49987,55626,58026.0,61393.0,63597.0,62185.0,54347.0,60542.0,63008.0,65801.0,64334.0,47262.0,50992.0,3067,3044,3150,2916,2960,3277,2770,2634,3070,2957,2912,3014,3083,2988,2544,2898,2561,1961,2671,2927,1994,2690,2623,2186,2102,2449.0,2644.0,2860.0,2692.0,2001.0,2559.0,2688.0,2748.0,1796.0,1936.0,1973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"konventionell v�rmekraft, fj�rrv�rme",3550,3311,2861,2310,2290,3540,4136,4929,5325,5658,6450,5472,5991,5516,4545,5369,5824,6901,7615,6914,7512,7607,7670,9828,12721,10549.0,9341.0,9159.0,7410.0,7843.0,9122.0,9018.0,9126.0,9247.0,6715.0,8831.0,3443,3212,2775,2241,2221,3433,4012,4781,5165,5489,6257,5284,5686,5220,4370,5120,5650,6694,7382,6736,7249,7341,7402,9484,12276,10180.0,9015.0,8839.0,7151.0,7568.0,8803.0,8703.0,8806.0,8924.0,6480.0,8522.0,107,99,86,69,69,107,124,148,160,169,193,188,305,296,175,249,174,207,233,178,263,266,268,344,445,369.0,327.0,321.0,259.0,274.0,319.0,316.0,319.0,324.0,235.0,309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"konventionell v�rmekraft, industri",2896,2837,2950,2889,2650,2978,3164,3616,3920,3928,4103,4286,4052,4063,4307,4067,4692,4775,4766,4977,5328,5914,6283,6107,6468,6000.0,6333.0,5844.0,5785.0,5816.0,5727.0,6203.0,6128.0,6959.0,6609.0,6894.0,2807,2761,2871,2813,2582,2905,3087,3533,3832,3844,4029,4220,4002,3887,4151,3918,4552,4637,4620,4821,5142,5707,6063,5894,6242,5790.0,6111.0,5640.0,5583.0,5613.0,5527.0,5986.0,5914.0,6716.0,6378.0,6653.0,89,76,79,76,68,73,77,83,88,84,74,66,50,176,156,149,140,138,146,156,186,207,220,214,226,210.0,222.0,205.0,202.0,204.0,200.0,217.0,214.0,244.0,231.0,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,vindkraft,..,..,..,..,..,..,..,52,75,105,144,203,308,358,457,482,608,679,850,949,988,1432,1996,2485,3502,6101.0,7165.0,9842.0,11234.0,16268.0,15479.0,17609.0,16623.0,19847.0,27526.0,27244.0,..,..,..,..,..,..,..,52,75,105,144,203,308,358,456,482,608,679,850,949,988,1432,1996,2485,3502,6101.0,7165.0,9842.0,11234.0,16268.0,15479.0,17609.0,16623.0,19847.0,27526.0,27108.0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,solkraft,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.0,19.0,35.0,47.0,97.0,143.0,230.0,391.0,663.0,1035.0,1507.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.0,19.0,35.0,47.0,97.0,143.0,230.0,391.0,663.0,1035.0,1507.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"konventionell v�rmekraft, kondensproduktion",690,509,462,278,288,366,611,463,966,473,3869,453,279,309,305,474,1065,1940,915,734,776,528,690,460,535,830.0,329.0,311.0,426.0,235.0,288.0,318.0,300.0,174.0,281.0,388.0,617,446,377,200,204,292,524,389,872,401,3622,387,224,239,251,462,1033,1882,887,680,749,510,666,444,517,801.0,318.0,300.0,411.0,227.0,278.0,307.0,289.0,168.0,271.0,374.0,73,63,85,78,84,74,87,74,94,72,247,66,55,70,54,12,32,58,28,54,27,18,24,16,19,29.0,12.0,11.0,15.0,8.0,10.0,11.0,10.0,6.0,10.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"konventionell v�rmekraft, gasturbin- och annan produktion",64,81,61,85,55,64,98,145,147,96,17,9,8,11,35,31,37,127,7,31,12,27,20,18,22,10.0,12.0,11.0,12.0,11.0,14.0,8.0,18.0,10.0,13.0,24.0,43,65,50,70,31,50,84,131,136,89,8,5,3,8,25,24,30,102,0,22,12,26,19,17,21,9.0,12.0,11.0,11.0,11.0,14.0,8.0,17.0,9.0,13.0,24.0,21,16,11,15,24,14,14,14,11,7,9,4,5,3,10,7,7,25,7,9,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,import,1835,2174,5064,12053,12909,6225,8847,7979,6680,7720,15885,10252,6102,8456,18309,11164,20110,24286,15646,14574,17547,16051,12754,13771,14932,12481.0,11680.0,12674.0,13852.0,9294.0,14287.0,11896.0,12202.0,9070.0,11827.0,8341.0,1835,2174,5064,12053,12909,6225,8847,7979,6680,7720,15885,10252,6102,8456,18309,11164,20110,24286,15646,14574,17547,16051,12754,13771,14932,12481.0,11680.0,12674.0,13852.0,9294.0,14287.0,11896.0,12202.0,9070.0,11827.0,8341.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,summa f�rbrukad el,135520,143695,146174,150902,154622,148656.0,150626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,export,6494,6344,7671,12526,14677,7519.0,11003.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jord- o. skogsbruk o. fiske j�mte anslutna hush�ll med el. bostadsuppv., SNI69 jmf. 1",1295,1333,1310,1335,1536,715.0,682.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jord- o. skogsbruk o. fiske j�mte anslutna hush�ll med el. bostadsuppv. i komb. med andra energislag, SNI69 jmf. 1",..,..,..,..,..,958.0,895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"jord- o. skogsbruk o. fiske j�mte anslutna hush�ll utan el. bostadsuppv., SNI69 jmf. 1",2097,2157,1949,1888,1664,1628.0,1449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"gruvor och mineralbrott samt tillverkningsindustri, SNI69 jmf. 2 och 3",48538,51677,53505,54141,53625,51342.0,50341.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"elverk, kontor, lager o.d., SNI69 jmf. 4101",132,113,137,128,139,105.0,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"gasverk, SNI69 jmf. 4102",15,18,21,22,27,26.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
