"region";"varuslag";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"0114 Upplands V�sby";"motorbensin";33.8;33.9;33.9;30.2;31.3;31.8;30.6;28.1;29.0;29.4;31.8;24.9;22.6;21.3;20.7;20.0;19.4
"0114 Upplands V�sby";"dieselbr�nsle";9.9;11.7;13.0;13.7;12.9;13.6;15.9;17.0;16.9;18.8;23.7;21.7;21.1;22.7;25.8;26.6;29.0
"0114 Upplands V�sby";"etanol";..;..;..;..;..;..;..;..;..;..;2.0;1.4;0.8;0.7;0.4;0.2;0.2
"0114 Upplands V�sby";"E85";..;..;..;..;..;..;..;2.6;1.9;2.0;..;..;..;..;..;..;..
"0114 Upplands V�sby";"FAME";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0.0;..
"0114 Upplands V�sby";"HVO";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0.0;0.3
"0114 Upplands V�sby";"eldningsolja nr 1";2.6;2.4;1.7;1.5;1.2;1.1;3.3;2.1;2.0;1.7;0.6;0.8;0.3;0.3;0.4;0.4;2.0
"0114 Upplands V�sby";"eldningsolja nr 1 d�rav ej SNI 05-33, 35";2.0;1.5;1.4;1.3;0.9;0.8;2.8;1.6;2.0;0.8;0.3;0.7;0.1;0.1;0.1;0.2;2.0
"0114 Upplands V�sby";"eldningsolja nr 2 inkl. WRD";..;..;..;..;..;..;..;0.6;2.1;1.4;0.8;0.3;0.5;0.2;..;0.0;..
"0114 Upplands V�sby";"eldningsolja nr 2 inkl. WRD d�rav ej SNI 05-33, 35";..;..;..;..;..;..;..;0.0;1.1;1.4;0.8;0.3;0.2;..;..;0.0;..
"0114 Upplands V�sby";"Eldningsolja nr 2-5";0.1;0.7;2.0;2.3;1.4;1.5;0.5;..;..;..;..;..;..;..;..;0.0;..
"0114 Upplands V�sby";"Eldningsolja nr 2-5 d�rav ej SNI 05-33,35";0.0;0.6;0.6;0.3;0.5;0.5;0.0;..;..;..;..;..;..;..;..;0.0;..
"0114 Upplands V�sby";"eldningsolja nr 3-6 ";..;..;..;..;..;..;..;0.0;0.0;0.0;0.0;0.0;0.0;..;..;0.0;..
"0114 Upplands V�sby";"eldningsolja nr 3-6 d�rav ej SNI 05-33, 35";..;..;..;..;..;..;..;0.0;0.0;0.0;0.0;0.0;0.0;..;..;0.0;..
"0115 Vallentuna";"motorbensin";12.8;11.5;12.7;12.2;14.5;13.7;13.3;12.1;10.1;12.5;11.4;10.5;9.8;9.4;10.0;9.9;9.7
"0115 Vallentuna";"dieselbr�nsle";6.6;7.0;6.6;8.0;8.1;8.3;7.6;8.4;9.1;9.9;10.6;11.4;10.2;9.7;12.1;13.2;13.6
"0115 Vallentuna";"etanol";..;..;..;..;..;..;..;..;..;..;0.8;0.9;1.0;0.9;0.8;0.5;0.1
"0115 Vallentuna";"E85";..;..;..;..;..;..;..;0.2;0.2;0.3;..;..;..;..;..;..;..
"0115 Vallentuna";"FAME";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0.0;..
"0115 Vallentuna";"HVO";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0.2;0.0
"0115 Vallentuna";"eldningsolja nr 1";4.8;5.1;4.3;2.4;2.3;2.1;1.6;1.1;1.4;1.3;1.3;0.3;0.4;0.5;0.3;0.4;0.2
"0115 Vallentuna";"eldningsolja nr 1 d�rav ej SNI 05-33, 35";4.7;5.1;4.3;2.3;2.2;2.0;1.6;0.9;1.3;0.9;1.2;0.3;0.4;0.4;0.3;0.4;0.2
"0115 Vallentuna";"eldningsolja nr 2 inkl. WRD";..;..;..;..;..;..;..;0.0;0.0;0.0;0.0;0.0;0.0;..;..;0.0;..
"0115 Vallentuna";"eldningsolja nr 2 inkl. WRD d�rav ej SNI 05-33, 35";..;..;..;..;..;..;..;0.0;0.0;0.0;0.0;0.0;0.0;..;..;0.0;..
"0115 Vallentuna";"Eldningsolja nr 2-5";0.0;0.0;0.0;0.0;0.0;0.0;0.0;..;..;..;..;..;..;..;..;0.0;..
"0115 Vallentuna";"Eldningsolja nr 2-5 d�rav ej SNI 05-33,35";0.0;0.0;0.0;0.0;0.0;0.0;0.0;..;..;..;..;..;..;..;..;0.0;..
"0115 Vallentuna";"eldningsolja nr 3-6 ";..;..;..;..;..;..;..;0.0;0.0;0.0;0.0;0.0;0.0;..;..;0.0;..
"0115 Vallentuna";"eldningsolja nr 3-6 d�rav ej SNI 05-33, 35";..;..;..;..;..;..;..;0.0;0.0;0.0;0.0;0.0;0.0;..;..;0.0;..
"0117 �ster�ker";"motorbensin";21.9;22.0;21.8;20.8;21.2;20.1;19.6;19.7;20.4;18.0;16.6;16.0;16.1;15.5;14.7;13.6;13.1
"0117 �ster�ker";"dieselbr�nsle";6.2;6.1;5.8;6.1;6.4;6.5;7.3;8.9;10.2;12.5;12.6;13.6;13.1;15.3;16.1;17.2;18.3
"0117 �ster�ker";"etanol";..;..;..;..;..;..;..;..;..;..;0.9;0.7;0.5;0.4;0.2;0.1;0.1
