"n�ringsgren SNI92";"br�nsletyp";"2002K1";"2002K2";"2002K3";"2002K4";"2003K1";"2003K2";"2003K3";"2003K4";"2004K1";"2004K2";"2004K3";"2004K4";"2005K1";"2005K2";"2005K3";"2005K4";"2006K1";"2006K2";"2006K3";"2006K4";"2007K1";"2007K2";"2007K3";"2007K4";"2008K1";"2008K2";"2008K3";"2008K4";"2009K1";"2009K2";"2009K3";"2009K4"
"C+D utvinning av mineral, tillverkningsindustri";"eldningsolja nr 1";3378;2330;2006;3605;4456;2524;2066;3104;3536;2436;2088;2983;3017;2276;1967;2983;3111;2048;1664;2351;2687;1843;1581;2304;2022;1601;1365;1827;2137;1434;1169;1778
"C+D utvinning av mineral, tillverkningsindustri";"eldningsolja nr 2-6";10858;8311;7237;12642;13799;9118;8218;11651;13020;9065;8097;10855;11086;8665;7798;10855;11878;8507;7711;9899;10314;7301;6708;8583;7441;6219;6131;7596;7913;5216;4571;6033
"C+D utvinning av mineral, tillverkningsindustri";"stenkol";6482;6576;5776;6561;6118;6239;5564;6137;6949;6737;6647;7437;7218;6815;6495;7437;7183;6769;6205;5970;6819;7136;6341;7096;6755;7620;6521;6008;3938;3980;3089;5205
"C+D utvinning av mineral, tillverkningsindustri";"koks";10652;11014;9119;11737;10711;10678;11568;11082;10361;10662;11243;10988;10488;10577;9145;10988;10639;10296;8780;10188;10620;10470;9117;11052;11934;11347;10338;9960;6584;5555;2839;9315
"C+D utvinning av mineral, tillverkningsindustri";"tr�dbr�nslen, avlutar, tall-, beckolja, bioolja, sopor, torv";45784;41604;39652;41354;43692;44576;41060;45925;49764;47339;44628;47876;50282;45025;41548;47876;52778;45077;43079;48032;51975;47798;45632;50143;46113;47387;49392;45492;46553;44881;43536;48155
"C+D utvinning av mineral, tillverkningsindustri";"naturgas";4117;3616;3291;5351;3764;3466;3090;4871;4239;3748;4304;5304;6598;4138;3765;6227;6385;4193;3705;5913;4715;3883;4024;6076;4973;4329;4536;5712;5234;4214;3727;6694
"C+D utvinning av mineral, tillverkningsindustri";"propan och butan";4547;4255;3491;4949;4962;4530;3864;4854;5011;4525;3702;4953;4853;4254;3384;4953;4469;4211;3661;4530;4546;4138;3659;4552;4246;4241;3642;3569;3165;3061;3014;3798
"C gruvor och mineralutvinningsind";"eldningsolja nr 1";91;122;255;172;109;127;137;135;115;162;154;165;100;262;174;165;143;118;72;212;302;176;131;149;98;237;158;163;305;141;147;157
"C gruvor och mineralutvinningsind";"eldningsolja nr 2-6";437;360;271;534;532;437;422;421;435;422;420;400;423;295;435;400;471;370;419;546;399;520;618;480;572;708;649;486;485;292;267;574
"C gruvor och mineralutvinningsind";"stenkol";752;646;810;773;887;712;1084;862;885;803;846;880;906;848;855;880;895;937;871;809;997;868;820;710;750;622;721;838;297;540;582;999
"C gruvor och mineralutvinningsind";"koks";..;..;..;..;..;..;..;0;..;..;..;0;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"C gruvor och mineralutvinningsind";"tr�dbr�nslen, avlutar, tall-, beckolja, bioolja, sopor, torv";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0;0;0;0;0;0;0
"C gruvor och mineralutvinningsind";"naturgas";..;0;0;0;3;3;2;3;3;3;3;3;4;4;3;0;70;3;3;3;..;..;0;0;3;3;3;110;152;64;165;64
"C gruvor och mineralutvinningsind";"propan och butan";32;13;13;26;25;22;14;28;31;18;19;32;53;28;30;32;22;35;46;40;51;42;35;39;13;3;1;1;15;19;15;20
"15+16 livsmedels-, dryckesvaru-, o tobaksind";"eldningsolja nr 1";640;512;528;687;816;575;493;651;613;503;447;534;494;446;405;534;429;366;323;376;363;297;286;453;431;348;334;429;424;362;319;364
