"energib�rare";"energifl�den";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009"
"stenkol";"1 tillf�rsel av prim�r energi och motsvarande (1.1+1.3+1.4+1.5+1.6)";82160;99059;113238;115905;113728;107714;..;101236;98869;90731;89806;89997;88473;101753;84417;85942;82323;84692;90401;90716;91910;96477;92021;95014;91574;88398;66887
"stenkol";"1.1 inhemsk tillf�rsel av prim�renergi";354;354;354;327;653;435;..;299;762;1007;109;0;..;0;..;..;..;..;..;..;..;..;..;..;..;..;..
"stenkol";"1.3 import";84146;107741;132560;120776;108067;104584;..;97018;85180;81996;87384;83112;95222;88718;89398;83194;79955;81670;75657;72677;86797;83326;87229;83269;86570;77856;50648
"stenkol";"1.4 export";27;626;3048;1687;2830;952;..;54;354;490;2857;626;54;1714;163;218;109;127;158;87;233;299;163;229;101;264;174
"stenkol";"1.5 lagerf�r�ndringar";2259;9416;8518;1579;-9035;..;..;-1551;-9906;-10450;-9634;-245;3102;-12001;5878;1687;-2857;3190;-9815;-7168;7608;-3837;3526;-5262;529;-581;-14727
"stenkol";"1.6 statistisk differens p� tillf�rselsidan";54;-1006;8110;1932;1197;-3647;..;-2422;-3375;2232;4464;-7266;3593;-2748;-1060;-4653;380;-6339;-5087;-10958;-12954;-9613;-8481;-6712;-5634;-10225;-1686
"stenkol";"2 bunkring f�r utrikes sj�fart (sv + utl fartyg)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"stenkol";"3 insatt f�r omvandling till andra energib�rare";65559;79819;93780;96202;93072;82405;..;73505;73614;71491;69940;71736;68471;81833;65232;66239;64525;61887;65919;65363;68109;69986;66161;68913;65217;62346;51410
"stenkol";"1.2 bruttoproduktion av omvandlade energib�rare";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"stenkol";"4 anv�ndning i energisektorn";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"stenkol";"5 �verf�ringsf�rluster";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"stenkol";"6 anv�ndning f�r icke energi�ndam�l";1089;1034;789;735;817;762;..;490;0;0;..;0;..;0;..;..;0;0;0;0;0;0;0;0;0;0;0
"stenkol";"7 slutlig anv�ndning inom landet";15512;18206;18669;18968;19839;24547;..;27241;25255;19240;19866;18261;20002;19920;19185;19703;17798;22805;24482;25353;23801;26491;25860;26101;26357;26052;15477
"stenkol";"7.1 anv�ndning inom jordbruk, fiske (SNI 01+02)";816;1143;1497;1388;1878;1905;..;1633;1225;544;408;272;136;54;54;54;0;54;54;5;5;5;5;5;0;0;0
"stenkol";"7.2 anv�ndning inom skogsbruk (SNI 05)";..;..;..;..;..;..;..;..;..;..;..;0;..;0;..;..;0;..;..;..;..;..;..;..;..;..;..
"stenkol";"7.3 anv�ndning inom industri (SNI 10-37)";14478;16791;17118;17471;17907;22588;..;25068;24030;18669;19431;17989;19866;19866;19077;19649;17798;22751;24427;25348;23796;26486;25855;26096;26357;26052;15477
"stenkol";"7.4 anv�ndning inom byggverksamhet (SNI 45)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"stenkol";"7.5 anv�ndning inom offentlig verksamhet";0;0;0;0;..;0;..;0;0;0;0;0;0;0;0;0;0;0;..;0;0;0;0;0;0;0;0
"stenkol";"7.6 anv�ndning inom transporter";0;0;0;0;..;0;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"stenkol";"7.7 anv�ndning inom �vriga tj�nster";136;218;27;54;..;27;..;0;0;27;27;0;0;0;54;0;0;0;..;0;0;0;0;0;0;0;0
"stenkol";"7.8 anv�ndning inom hush�ll (bost�der och annat)";82;54;27;55;54;27;..;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"stenkol";"8 statistisk differens p� anv�ndningssidan";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
"koks";"1 tillf�rsel av prim�r energi och motsvarande (1.1+1.3+1.4+1.5+1.6)";3759;431;8076;9005;9060;14306;..;9818;7827;5750;6985;10071;10015;11166;9397;8781;8949;9929;9211;15303;16418;12191;8752;3901;8255;5908;-2896
"koks";"1.1 inhemsk tillf�rsel av prim�renergi";..;..;..;..;..;..;..;..;..;..;..;0;..;0;..;..;..;..;..;..;..;..;..;..;..;..;..
"koks";"1.3 import";6676;7406;10828;10239;6396;9818;..;8920;8444;8247;6171;18346;365;11557;11557;10519;9678;9202;11356;15988;13186;13915;11010;6099;7514;8941;4086
"koks";"1.4 export";3647;5779;2160;3983;4741;2384;..;1150;954;645;1066;870;84;954;954;2188;2328;827;837;634;1049;994;980;737;752;921;7698
